start,end,iso3,FiveYrSD,FiveYrAverageGDPgrowth
2008,2012,BEL,1.8949959,.6210295
2009,2013,BEL,1.9109417,.47491983
2010,2014,BEL,1.1306101,1.2015678
2011,2015,BEL,.88050044,.82825339
1997,2001,BEN,.7555182,5.2455106
1998,2002,BEN,.73611659,5.0274668
1999,2003,BEN,.93326294,4.9240732
2000,2004,BEN,.9203136,4.7417092
2001,2005,BEN,1.4033159,3.9120264
2002,2006,BEN,1.1708795,3.6353471
2003,2007,BEN,1.5518763,3.9037561
2004,2008,BEN,1.5796524,4.1936259
2005,2009,BEN,1.7711664,3.7715456
2006,2010,BEN,1.6590526,3.8526001
2007,2011,BEN,1.7028642,3.6557474
2008,2012,BEN,1.3019432,3.387049
2009,2013,BEN,1.9947631,3.7841692
2010,2014,BEN,2.1099508,4.6286211
2011,2015,BEN,1.8185457,5.2565641
1997,2001,BFA,2.322233,5.8924751
1998,2002,BFA,2.3973749,5.4997091
1999,2003,BFA,2.4987168,5.5986528
2000,2004,BFA,2.3052802,5.0135121
2001,2005,BFA,1.9370852,6.3818359
2002,2006,BFA,1.9330143,6.3097878
2003,2007,BFA,1.6738336,6.5701876
2004,2008,BFA,1.5938519,6.4685993
2005,2009,BFA,2.1235032,6.1653075
2006,2010,BFA,2.0614336,6.1222
2007,2011,BFA,2.0691853,6.1759224
2008,2012,BFA,2.0496397,6.3354564
2009,2013,BFA,2.2606556,5.6064177
2010,2014,BFA,1.9892739,5.8132238
2011,2015,BFA,1.5451336,5.1549487
1997,2001,BGD,.34468973,4.9415326
1998,2002,BGD,.59446788,4.8101778
1999,2003,BGD,.5580551,4.7226858
2000,2004,BGD,.60108972,4.8365612
2001,2005,BGD,.97669065,5.0850916
2002,2006,BGD,1.2067479,5.4040074
2003,2007,BGD,1.0017855,6.0491099
2004,2008,BGD,.70283598,6.3039546
2005,2009,BGD,.77781957,6.2650728
2006,2010,BGD,.8126117,6.0722442
2007,2011,BGD,.77893615,6.0307474
2008,2012,BGD,.623191,5.9233074
2009,2013,BGD,.62318403,5.9232683
2010,2014,BGD,.38563409,6.126462
2011,2015,BGD,.26476094,6.2651272
1997,2001,BGR,4.4935904,1.2097949
1998,2002,BGR,4.7016153,2.6334193
1999,2003,BGR,4.8256011,2.9489238
2000,2004,BGR,.90804654,5.3820372
2001,2005,BGR,1.1840651,5.827086
2002,2006,BGR,.82417518,6.3281078
