"","country","year","iso3","eb_econgood","gdpgrowth","unemployment","inflation","lfp","lfp_men","manufacturing","trade","gini","wage_growth"
"126","France",2014,"FRA",8.09476757049561,0.947586476802826,10.3050003051758,0.576458632946014,55.4329986572266,60.3160018920898,11.1425037384033,59.6683120727539,0.293999999761581,1.08408689498901
"127","France",2013,"FRA",7.49756574630737,0.576241552829742,10.3520002365112,0.776636481285095,55.6720008850098,60.7919998168945,11.3472833633423,59.098804473877,NA,0.459893345832825
"128","France",2012,"FRA",8.63952350616455,0.182693034410477,9.8149995803833,1.15764892101288,55.875,61.1380004882812,11.3290987014771,59.2003860473633,0.30799999833107,0.65888500213623
"129","France",2011,"FRA",12.3181381225586,2.07922911643982,9.2480001449585,0.943611741065979,55.6980018615723,60.9640007019043,11.374924659729,58.169002532959,NA,-0.178601801395416
"130","France",2010,"FRA",13.320463180542,1.96565735340118,9.30399990081787,1.07982552051544,55.875,61.265998840332,11.2505292892456,53.9684371948242,NA,1.99219310283661
"131","France",2009,"FRA",11.1645812988281,-2.94134116172791,9.14700031280518,0.0966244265437126,55.9580001831055,61.4280014038086,11.5073013305664,49.5678482055664,NA,3.05730199813843
"132","France",2008,"FRA",12,0.195294767618179,7.48400020599365,2.37911915779114,55.7560005187988,61.3940010070801,12.0920791625977,56.5238380432129,NA,-0.190345898270607
"133","France",2007,"FRA",23.745174407959,2.36149883270264,8.05399990081787,2.56390643119812,55.7210006713867,61.4630012512207,12.6794900894165,55.5477027893066,0.294999986886978,0.415123641490936
"134","France",2006,"FRA",30.2186870574951,2.37494683265686,8.93599987030029,2.16119813919067,55.6479988098145,61.6469993591309,12.8041429519653,55.1872444152832,NA,1.10513925552368
"135","France",2005,"FRA",21.7606334686279,1.60771381855011,8.94600009918213,1.93951392173767,55.7639999389648,61.9490013122559,13.3079042434692,53.1520156860352,NA,1.20091676712036
"136","United Kingdom",2016,"GBR",51.0796737670898,1.80601835250854,4.84899997711182,1.73620891571045,62.6599998474121,68.6190032958984,9.69098281860352,58.0781364440918,NA,NA
"137","United Kingdom",2015,"GBR",53.0038032531738,2.19422912597656,5.30100011825562,0.55005544424057,62.6829986572266,68.713996887207,9.76077079772949,56.8522491455078,NA,1.80218970775604
"138","United Kingdom",2014,"GBR",48.1003036499023,3.07048368453979,6.11100006103516,1.64553236961365,62.7150001525879,68.8199996948242,10.1618194580078,58.1367683410645,0.358000010251999,-0.778127014636993
"139","United Kingdom",2013,"GBR",37.6789741516113,1.91107845306396,7.52600002288818,1.90430819988251,62.5379981994629,68.7639999389648,10.2605581283569,61.7696495056152,NA,-1.31000423431396
"140","United Kingdom",2012,"GBR",23.8496932983398,1.31301856040955,7.88600015640259,1.5391389131546,62.2439994812012,68.8310012817383,9.93155860900879,61.8261985778809,0.351000010967255,-0.395944565534592
"141","United Kingdom",2011,"GBR",14.8628044128418,1.50906181335449,8.03699970245361,2.01143765449524,62.0390014648438,68.6520004272461,10.0383930206299,62.7065238952637,NA,-2.52616810798645
"142","United Kingdom",2010,"GBR",16,1.91516184806824,7.78700017929077,1.54207229614258,62.0610008239746,68.7050018310547,9.9885835647583,59.2218208312988,NA,-2.57228326797485
"143","United Kingdom",2009,"GBR",18.0473365783691,-4.32773780822754,7.53700017929077,1.53042936325073,62.2939987182617,69.2959976196289,9.6682243347168,54.7244110107422,NA,0.775082528591156
"144","United Kingdom",2008,"GBR",18,-0.627205193042755,5.61499977111816,2.82417368888855,62.4720001220703,69.7369995117188,10.1100549697876,56.7548561096191,NA,-2.87729668617249
"145","United Kingdom",2007,"GBR",63.2089538574219,2.55581903457642,5.26200008392334,2.5483090877533,62.1710014343262,69.5690002441406,10.121111869812,52.3373985290527,0.372999995946884,2.36308121681213
"146","United Kingdom",2006,"GBR",68.6783828735352,2.50300860404968,5.34999990463257,2.94621753692627,62.3709983825684,69.6340026855469,10.6456489562988,56.0369834899902,NA,2.43225073814392
"147","United Kingdom",2005,"GBR",69.3620147705078,2.97209572792053,4.75,2.66443872451782,61.8759994506836,69.2649993896484,11.1352777481079,52.1348609924316,NA,-0.44818252325058
"148","Greece",2016,"GRC",2.68123149871826,0.0117520587518811,23.9090003967285,0.0966164842247963,51.7630004882812,60.0620002746582,9.79982948303223,60.9778175354004,NA,NA
"149","Greece",2015,"GRC",2.99700307846069,-0.219147175550461,24.8969993591309,-1.04375648498535,51.689998626709,59.9679985046387,9.4830846786499,63.6862640380859,NA,0.874835610389709
"150","Greece",2014,"GRC",2.57680869102478,0.352849245071411,26.4909992218018,-1.84847450256348,51.8279991149902,60.1150016784668,9.5036449432373,67.4429244995117,0.342999994754791,0.725681066513062
"151","Greece",2013,"GRC",1.89999997615814,-3.24142503738403,27.4659996032715,-2.35229992866516,52.2490005493164,61.048999786377,9.517746925354,63.5191421508789,NA,-5.80480670928955
"152","Greece",2012,"GRC",0.599400579929352,-7.3004937171936,24.4389991760254,-0.370392024517059,52.6069984436035,61.5260009765625,9.09980010986328,61.8177680969238,0.340000003576279,-4.52685546875
"153","Greece",2011,"GRC",1.5,-9.13249397277832,17.8649997711182,0.798356115818024,52.9620018005371,62.4739990234375,8.89192199707031,57.8446197509766,NA,-6.56245470046997
"154","Greece",2010,"GRC",2.09999990463257,-5.47903728485107,12.7130002975464,0.6733717918396,53.693000793457,63.6759986877441,8.19262313842773,52.8290977478027,NA,-6.65853548049927
"155","Greece",2009,"GRC",10,-4.30073356628418,9.61600017547607,2.56977105140686,53.5330009460449,63.9690017700195,8.54388046264648,47.7438468933105,NA,4.69141626358032
"156","Greece",2008,"GRC",10,-0.335172563791275,7.76000022888184,4.34458303451538,53.0979995727539,64.1500015258789,9.62417316436768,59.3297157287598,NA,-1.49997675418854
"157","Greece",2007,"GRC",23.4234237670898,3.27374696731567,8.39599990844727,3.4226667881012,53.0909996032715,64.1660003662109,9.59483051300049,57.5243759155273,0.330000013113022,-0.0279420670121908
"158","Greece",2006,"GRC",22.2999992370605,5.6524338722229,9.00800037384033,3.49504256248474,53.1879997253418,64.3379974365234,9.54544734954834,52.8502388000488,NA,1.19704043865204
"159","Greece",2005,"GRC",13.0130128860474,0.599142074584961,9.99400043487549,2.24031949043274,52.8919982910156,64.1689987182617,9.56708526611328,50.9008636474609,NA,-0.30070948600769
"160","Croatia",2016,"HRV",14.877589225769,2.92928791046143,13.4759998321533,-0.122557461261749,52.1580009460449,58.5289993286133,14.6137008666992,99.6189498901367,NA,NA
"161","Croatia",2015,"HRV",18.9484119415283,1.64144206047058,16.2770004272461,0.102490745484829,52.2840003967285,58.726001739502,14.7037792205811,97.1989059448242,NA,NA
"162","Croatia",2014,"HRV",10.6134376525879,-0.49175751209259,17.2900009155273,0.0483999289572239,52.4249992370605,58.9080009460449,14.4797849655151,90.8490676879883,NA,NA
"163","Croatia",2013,"HRV",3.09999990463257,-1.06392109394073,17.2509994506836,0.804786920547485,50.9179992675781,57.7900009155273,14.1248159408569,85.596305847168,NA,NA
"164","Croatia",2012,"HRV",2.29999995231628,-2.18742918968201,15.9350004196167,1.58127915859222,51.3930015563965,58.576000213623,14.4750804901123,82.6755752563477,NA,NA
"165","Croatia",2011,"HRV",4.90000009536743,-0.281262665987015,13.6780004501343,1.67190897464752,51.6860008239746,59.3440017700195,14.3893194198608,81.2732162475586,NA,NA
"166","Croatia",2010,"HRV",4.29570436477661,-1.70124971866608,11.6199998855591,0.83154970407486,52.1780014038086,59.2179985046387,14.1572179794312,75.8976287841797,NA,NA
"167","Croatia",2009,"HRV",10.1000003814697,-7.38378286361694,9.20199966430664,2.78034210205078,52.7220001220703,59.8209991455078,14.4357862472534,72.7617950439453,NA,NA
"168","Croatia",2008,"HRV",11,2.05336546897888,8.52999973297119,5.70251750946045,52.9500007629395,60.734001159668,15.0759830474854,84.9946441650391,NA,NA
"169","Croatia",2007,"HRV",18.1000003814697,5.15000486373901,9.90900039672852,4.10500955581665,52.9819984436035,61.0870018005371,15.1781787872314,85.2684555053711,NA,NA
"170","Croatia",2006,"HRV",8.89999961853027,4.78512096405029,11.1300001144409,3.99725389480591,52.7280006408691,59.9630012512207,15.2119407653809,86.065673828125,NA,NA
"171","Croatia",2005,"HRV",3.79620385169983,4.16384077072144,12.5979995727539,3.395024061203,53.2960014343262,61.1100006103516,15.6330223083496,84.7278442382812,NA,NA
"172","Hungary",2016,"HUN",30.5,1.95436930656433,5.16800022125244,0.986515939235687,53.9959983825684,62.443000793457,23.9042472839355,174.702484130859,NA,NA
"173","Hungary",2015,"HUN",29.3384475708008,3.14808392524719,6.81300020217896,1.73213016986847,53.9720001220703,62.5089988708496,24.5915126800537,172.542922973633,NA,2.98585772514343
"174","Hungary",2014,"HUN",26.3901977539062,4.04732131958008,7.72499990463257,3.36063575744629,53.8930015563965,62.4630012512207,23.3237915039062,170.368759155273,0.287999987602234,-1.00343334674835
"175","Hungary",2013,"HUN",21.7000007629395,2.11714673042297,10.1770000457764,2.93858909606934,52.2840003967285,60.5810012817383,22.4876384735107,164.996643066406,NA,-0.0987461283802986
"176","Hungary",2012,"HUN",9.43579769134521,-1.60251235961914,11.0030002593994,3.41250967979431,51.7910003662109,59.7869987487793,22.3238773345947,166.824584960938,0.289000004529953,-3.1662757396698
"177","Hungary",2011,"HUN",8.32517147064209,1.73942339420319,11.0290002822876,2.21023941040039,50.8779983520508,58.8489990234375,22.0277404785156,168.21305847168,NA,-0.276750564575195
"178","Hungary",2010,"HUN",7.27449083328247,0.677098155021667,11.1719999313354,2.30563879013062,50.5470008850098,58.3330001831055,21.6297512054443,159.16357421875,NA,-0.619626462459564
"179","Hungary",2009,"HUN",4.88047790527344,-6.56363439559937,10.0299997329712,3.96301102638245,49.9360008239746,58.1590003967285,20.2620944976807,145.481643676758,NA,-3.55076670646667
