iso,debt_2007,debt_2010,debt_2015,debt_growth2010_15,debt_growth2007_15
SWZ,15.96,13.496,17.389,3.8929999,1.429
SYC,130.749,81.89400000000001,68.09,-13.804,-62.659
SYR,42.672,30.024,,,
TCD,22.15,30.123,39.314,9.191,17.164
TGO,107.784,49.914,61.888,11.974,-45.896
THA,35.985,39.859,43.108,3.2490001,7.1230001
TJK,34.603,36.342,35.905,-.43700001,1.302
TKM,2.416,4.114,23.276,19.162001,20.860001
TTO,26.093,33.831,51.061,17.23,24.968
TUN,45.941,40.664,54.502,13.838,8.5609999
TUR,39.907,42.335,32.609,-9.7259998,-7.2979999
TUV,34.464,55.635,48.968,-6.6669998,14.504
TWN,32.055,36.745,38.267,1.522,6.2119999
TZA,21.598,27.343,40.549,13.206,18.951
UGA,19.558,22.939,35.359,12.42,15.801
UKR,11.815,40.626,80.18300000000001,39.556999,68.367996
URY,67.985,59.412,61.818,2.4059999,-6.1669998
USA,64.01300000000001,94.73,105.827,11.097,41.813999
UVK,24.813,15.628,19.183,3.5550001,-5.6300001
UZB,15.786,9.961,10.694,.73299998,-5.092
VCT,55.524,65.449,73.58799999999999,8.1389999,18.063999
VEN,29.101,34.621,48.776,14.155,19.674999
VNM,40.897,48.084,59.294,11.21,18.396999
VUT,19.11,19.355,20.496,1.141,1.386
WSM,31.666,45.156,55.491,10.335,23.825001
YEM,40.408,42.38,68.56,26.18,28.152
ZAF,27.061,34.675,50.06,15.385,22.999001
ZMB,21.932,18.892,52.949,34.056999,31.017
ZWE,50.061,63.192,53.014,-10.178,2.9530001
