metaweight,country,EXP1,EXP2,EXP3,EXP4,AP1,AP2,AP3,AP4,EL1,EL2,POP1,POP2,POP3,POP4,POP5,POP6,expertise,antipolitics,elitism,popscale
.52053481,1,6,5,5,6,3,3,2,6,3,3,7,3,3,7,5,6,5.5,3.5,3,5
1.6215423,1,4,5,4,3,5,3,3,3,2,6,7,6,5,7,6,5,4,3.5,4,6.1999998
1.6141486,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5
1.0541908,1,4,4,5,4,2,1,4,2,5,2,6,5,4,5,4,3,4.25,2.25,3.5,4.8000002
.69800186,1,6,7,6,7,2,2,5,2,6,2,6,2,2,6,2,2,6.5,2.75,4,3.5999999
.87549174,1,3,5,7,5,6,2,3,3,5,1,2,5,3,2,3,5,5,3.5,3,3
1.3259549,1,6,7,6,5,7,6,7,7,5,3,5,5,7,5,6,1,6,6.75,4,5.5999999
1.0541908,1,5,4,5,5,5,2,3,5,5,3,6,3,4,6,6,6,4.75,3.75,4,5
.65908545,1,7,6,7,7,5,3,3,5,5,2,5,5,3,7,6,5,6.75,4,3.5,5.1999998
.75560331,1,6,6,6,6,6,6,6,7,6,2,7,7,7,7,7,7,6,6.25,4,7
1.276033,1,3,3,3,3,3,2,2,4,5,6,4,3,4,5,4,3,3,2.75,5.5,4
.75560331,1,2,3,5,2,2,3,2,1,3,3,6,5,5,7,7,3,3,2,3,6
.62223971,1,7,2,5,5,3,1,4,6,5,2,7,6,6,4,4,1,4.75,3.5,3.5,5.4000001
.34515893,1,4,6,4,7,4,4,1,7,7,1,4,4,4,7,4,7,5.25,4,4,4.5999999
.34515893,1,6,5,5,5,4,3,3,5,5,2,6,5,7,5,6,3,5.25,3.75,3.5,5.8000002
1.276033,1,3,5,4,4,2,3,2,5,5,1,5,5,2,5,5,5,4,3,3,4.4000001
1.276033,1,4,3,5,3,3,5,5,3,5,3,3,5,3,5,5,3,3.75,4,4,4.1999998
1.6257544,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3.75,4,4
1.6141486,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
.35031807,1,6,4,7,4,4,4,5,4,5,6,6,6,5,7,7,6,5.25,4.25,5.5,6.1999998
1.4910983,1,5,4,4,6,5,5,5,4,4,4,5,3,5,5,4,5,4.75,4.75,4,4.4000001
.7283971299999999,1,5,6,3,6,4,2,4,5,5,1,4,3,3,7,5,2,5,3.75,3,4.4000001
.52053481,1,5,5,5,5,5,5,5,5,5,3,6,5,5,5,6,5,5,5,4,5.4000001
.35031807,1,6,7,5,6,5,5,4,5,2,3,6,5,5,6,6,6,6,4.75,2.5,5.5999999
.87549174,1,3,6,4,5,3,2,5,7,1,2,6,6,3,7,6,2,4.5,4.25,1.5,5.5999999
1.6141486,1,7,7,4,4,4,4,4,6,2,4,6,6,5,7,6,4,5.5,4.5,3,6
1.3259549,1,5,5,5,5,5,3,5,5,3,4,5,3,4,4,4,4,5,4.5,3.5,4
1.3292522,1,6,6,6,6,3,5,6,6,6,3,6,6,7,6,3,4,6,5,4.5,5.5999999
.7483629000000001,1,7,6,6,6,6,3,6,6,4,1,6,4,4,3,5,2,6.25,5.25,2.5,4.4000001
1.2875334,1,6,6,3,6,2,4,2,5,6,1,7,4,5,7,5,6,5.25,3.25,3.5,5.5999999
1.3259549,1,7,7,6,6,6,5,3,6,3,6,6,6,6,7,6,4,6.5,5,4.5,6.1999998
.7283971299999999,1,5,6,4,6,6,7,6,7,2,1,7,7,7,7,7,7,5.25,6.5,1.5,7
.71966678,1,5,7,6,7,6,3,6,5,2,6,7,3,3,5,5,1,6.25,5,4,4.5999999
1.3509064,1,4,5,5,5,4,3,3,5,4,4,7,7,3,1,6,5,4.75,3.75,4,4.8000002
1.2835567,1,4,5,5,4,3,3,3,6,3,2,6,5,3,5,5,6,4.5,3.75,2.5,4.8000002
.62069619,1,3,6,3,5,5,5,2,5,6,2,6,6,6,6,6,6,4.25,4.25,4,6
.75560331,1,4,6,3,5,3,3,2,2,4,3,5,3,2,7,4,4,4.5,2.5,3.5,4.1999998
1.3292522,1,6,6,5,4,2,2,3,1,1,2,7,2,2,5,6,3,5.25,2,1.5,4.4000001
1.3391032,1,5,5,5,7,6,4,6,6,2,3,7,6,4,7,6,4,5.5,5.5,2.5,6
.69800186,1,4,6,6,7,7,1,5,6,5,2,7,6,6,7,7,3,5.75,4.75,3.5,6.5999999
.24366888,1,4,7,7,7,7,2,7,7,6,1,7,7,7,4,6,4,6.25,5.75,3.5,6.1999998
1.6141486,1,5,3,7,3,5,3,6,7,6,1,7,7,6,6,7,7,4.5,5.25,3.5,6.5999999
.34515893,1,4,5,5,6,5,6,6,6,5,5,5,5,5,6,4,6,5,5.75,5,5
.72481197,1,3,5,3,6,6,6,3,1,6,5,3,7,5,3,5,3,4.25,4,5.5,4.5999999
1.4910983,1,5,5,5,5,5,5,6,6,5,5,7,7,7,7,7,7,5,5.5,5,7
.62069619,1,5,6,6,6,5,3,5,6,5,5,6,5,3,5,5,3,5.75,4.75,5,4.8000002
1.3259549,1,6,6,5,6,4,3,5,5,6,2,6,5,5,6,6,5,5.75,4.25,4,5.5999999
1.5560299,1,4,5,5,5,5,3,5,6,4,4,3,5,6,3,5,5,4.75,4.75,4,4.4000001
1.6141486,1,6,5,6,3,3,6,3,3,1,1,5,5,5,7,5,1,5,3.75,1,5.4000001
1.5560299,1,3,5,5,5,5,5,3,4,5,5,3,5,5,4,3,5,4.5,4.25,5,4
.7373417,1,7,3,7,6,4,3,6,7,1,1,6,6,5,7,6,3,5.75,5,1,6
.24366888,1,5,5,5,6,4,3,5,4,4,1,5,5,4,5,5,3,5.25,4,2.5,4.8000002
.52053481,1,5,5,5,5,4,3,5,5,4,3,4,3,3,6,5,5,5,4.25,3.5,4.1999998
.5973271100000001,1,6,7,6,5,2,5,5,6,1,1,6,6,6,6,6,4,6,4.5,1,6
.71966678,1,6,7,7,7,7,7,7,7,5,2,7,5,3,5,6,6,6.75,7,3.5,5.1999998
1.4910983,1,5,5,5,5,5,3,5,4,3,4,5,5,3,5,5,5,5,4.25,3.5,4.5999999
1.4910983,1,5,6,6,7,2,2,2,3,5,4,6,2,1,7,5,4,6,2.25,4.5,4.1999998
.7373417,1,7,1,5,2,5,2,2,7,1,1,7,7,2,7,7,5,3.75,4,1,6
1.3509064,1,5,3,4,5,3,4,5,5,4,2,5,5,4,6,5,5,4.25,4.25,3,5
.7483629000000001,1,5,7,5,7,6,3,5,2,3,7,3,1,1,5,5,1,6,4,5,3
1.3509064,1,4,5,3,5,5,4,6,5,3,1,5,4,3,5,5,4,4.25,5,2,4.4000001
.34515893,1,5,6,6,6,3,2,1,2,2,3,3,2,1,5,2,6,5.75,2,2.5,2.5999999
.72481197,1,6,4,5,3,6,6,4,6,4,2,5,6,6,5,4,7,4.5,5.5,3,5.1999998
1.3509064,1,5,7,7,5,3,3,3,4,4,4,4,2,1,2,2,1,6,3.25,4,2.2
.60271055,1,5,6,5,5,4,3,5,5,4,2,6,5,3,6,5,2,5.25,4.25,3,5
